Market Category,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Luxury,Audi,100,1994,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,Sedan,22,16,3105,2000
Luxury,Audi,100,1994,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,22,17,3105,2000
Luxury,Audi,100,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,22,16,3105,2000
Luxury,Audi,100,1994,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,21,16,3105,2000
Performance,FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,819,27495
Performance,FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,819,24995
Performance,FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,819,28195
Luxury,Mercedes-Benz,190-Class,1991,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,Sedan,26,18,617,2000
Luxury,Mercedes-Benz,190-Class,1991,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,Sedan,25,17,617,2000
Luxury,Mercedes-Benz,190-Class,1992,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,Sedan,25,17,617,2000
Luxury,Mercedes-Benz,190-Class,1992,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,Sedan,26,18,617,2000
Luxury,Mercedes-Benz,190-Class,1993,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,Sedan,26,18,617,2000
Luxury,Mercedes-Benz,190-Class,1993,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,Sedan,25,17,617,2000
"Luxury,Performance",BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,35,23,3916,32850
Luxury,BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Compact,Convertible,34,23,3916,38650
"Factory Tuner,Luxury,High-Performance",BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,31,20,3916,48750
"Luxury,Performance",BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Compact,Coupe,35,23,3916,34850
Luxury,BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Compact,Convertible,34,22,3916,40650
"Factory Tuner,Luxury,High-Performance",BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,31,20,3916,44150
"Luxury,Performance",BMW,2 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,2,Compact,Coupe,34,22,3916,32850
"Factory Tuner,Luxury,High-Performance",BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,2,Compact,Coupe,30,20,3916,46150
"Factory Tuner,Luxury,High-Performance",BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,30,20,3916,50750
"Factory Tuner,Luxury,High-Performance",BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,Compact,Coupe,31,21,3916,46450
"Factory Tuner,Luxury,High-Performance",BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,32,21,3916,49050
"Factory Tuner,Luxury,High-Performance",BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,Compact,Convertible,32,21,3916,51050
"Factory Tuner,Luxury,High-Performance",BMW,2 Series,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,32,21,3916,44450
"Luxury,Performance",BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,Compact,Convertible,34,23,3916,38950
"Luxury,Performance",BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,35,24,3916,33150
"Luxury,Performance",BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Compact,Coupe,33,24,3916,35150
Luxury,BMW,2 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Compact,Convertible,33,23,3916,40950
Luxury,Audi,200,1990,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Midsize,Sedan,20,16,3105,2000
Luxury,Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Midsize,Wagon,22,15,3105,2000
Luxury,Audi,200,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Midsize,Sedan,23,15,3105,2000
"Luxury,Performance",Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,Midsize,Sedan,22,16,3105,2000
"Luxury,Performance",Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,Midsize,Wagon,22,16,3105,2000
Luxury,Audi,200,1991,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Midsize,Sedan,20,16,3105,2000
Flex Fuel,Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,25170
Flex Fuel,Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,23950
"Flex Fuel,Performance",Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29,18,1013,29370
Flex Fuel,Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,21995
"Flex Fuel,Performance",Chrysler,200,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,26625
"Flex Fuel,Performance",Chrysler,200,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29,18,1013,30825
Flex Fuel,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,21995
Flex Fuel,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,27795
"Flex Fuel,Performance",Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29,18,1013,31785
"Flex Fuel,Performance",Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29,18,1013,29905
Flex Fuel,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,22490
Flex Fuel,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,27570
Flex Fuel,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,25690
Flex Fuel,Chrysler,200,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,24490
"Flex Fuel,Performance",Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28,18,1013,29905
"Flex Fuel,Performance",Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28,18,1013,31785
Flex Fuel,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,26685
Flex Fuel,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,22490
Flex Fuel,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,25690
"Flex Fuel,Performance",Chrysler,200,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28,18,1013,30900
Flex Fuel,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,27795
Flex Fuel,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,21995
Flex Fuel,Chrysler,200,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1013,24490
"Hatchback,Luxury",Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,36,26,2009,2000
Performance,Nissan,200SX,1996,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,Coupe,29,21,2009,2000
Performance,Nissan,200SX,1997,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,Coupe,29,21,2009,2000
"Hatchback,Luxury",Nissan,200SX,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,35,25,2009,2000
"Hatchback,Luxury",Nissan,200SX,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,35,25,2009,2000
Performance,Nissan,200SX,1998,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,Coupe,28,20,2009,2073
Performance,Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,2009,3713
Performance,Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,2009,3520
Performance,Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,2009,3910
Performance,Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,2009,4182
Performance,Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,2009,4107
Performance,Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,25,20,2009,4299
Performance,Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,25,20,2009,4693
Performance,Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,25,20,2009,4107
Luxury,Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Wagon,26,19,870,2000
Luxury,Volvo,240,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,23,18,870,2000
Luxury,Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,26,19,870,2000
Luxury,Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,26,19,870,2000
Luxury,Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Wagon,26,19,870,2000
Luxury,Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,26,19,870,2000
Luxury,Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Wagon,25,18,870,2000
Hatchback,Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,586,16020
Hatchback,Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,586,14530
Hatchback,Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586,16860
Hatchback,Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586,15370
Hatchback,Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586,17050
Hatchback,Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586,15560
Hatchback,Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,586,16210
Hatchback,Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,586,14720
Hatchback,Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586,17050
Hatchback,Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,586,15560
Hatchback,Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,586,16210
Hatchback,Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,586,14720
"Hatchback,Luxury,Performance",BMW,3 Series Gran Turismo,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30,20,3916,47250
"Hatchback,Luxury",BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,33,22,3916,41850
"Hatchback,Luxury",BMW,3 Series Gran Turismo,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,34,22,3916,43000
"Hatchback,Luxury,Performance",BMW,3 Series Gran Turismo,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30,20,3916,49200
"Hatchback,Luxury,Performance",BMW,3 Series Gran Turismo,2017,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30,20,3916,49650
"Hatchback,Luxury",BMW,3 Series Gran Turismo,2017,premium unleaded (required),248,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,33,23,3916,43950
Luxury,BMW,3 Series,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,33,22,3916,41950
"Luxury,High-Performance,Hybrid",BMW,3 Series,2015,premium unleaded (required),335,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,33,25,3916,50150
"Luxury,Performance",BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35,23,3916,37500
"Luxury,High-Performance",BMW,3 Series,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,32,21,3916,43750
"Diesel,Luxury",BMW,3 Series,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,45,32,3916,39000
Luxury,BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33,22,3916,39500
Luxury,BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,35,23,3916,34950
"Luxury,Performance",BMW,3 Series,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,30,20,3916,45750
"Diesel,Luxury",BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,43,31,3916,43450
"Diesel,Luxury",BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,43,31,3916,41000
Luxury,BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,36,24,3916,32950
"Diesel,Luxury",BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,40,30,3916,41850
"Luxury,High-Performance",BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33,22,3916,47800
"Diesel,Luxury",BMW,3 Series,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,42,32,3916,39850
"Luxury,Performance",BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,34,22,3916,38350
Luxury,BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,34,22,3916,40350
"Luxury,Performance",BMW,3 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,4,Midsize,Sedan,34,22,3916,38350
Luxury,BMW,3 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,34,22,3916,42650
Luxury,BMW,3 Series,2016,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,36,24,3916,33150
Luxury,BMW,3 Series,2016,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,35,23,3916,35150
"Diesel,Luxury",BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,40,30,3916,44150
"Luxury,High-Performance",BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,33,22,3916,45800
"Luxury,Performance",BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,34,23,3916,38750
Luxury,BMW,3 Series,2017,premium unleaded (recommended),180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,34,23,3916,35450
Luxury,BMW,3 Series,2017,premium unleaded (recommended),180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35,23,3916,33450
Luxury,BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33,23,3916,40750
"Diesel,Luxury",BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,40,30,3916,42250
Luxury,BMW,3 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,33,23,3916,42950
"Diesel,Luxury",BMW,3 Series,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,42,32,3916,40250
"Luxury,Performance",BMW,3 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,31,21,3916,49900
"Luxury,High-Performance",BMW,3 Series,2017,premium unleaded (recommended),320,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,32,21,3916,47900
"Diesel,Luxury",BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,40,30,3916,44450
Luxury,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,19,15,617,2232
Luxury,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,20,15,617,2000
Luxury,Mercedes-Benz,300-Class,1991,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22,17,617,2000
Luxury,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,20,15,617,2105
Luxury,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,18,15,617,2199
Luxury,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22,16,617,2000
Luxury,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,19,15,617,2124
"Luxury,Performance",Mercedes-Benz,300-Class,1991,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,Convertible,21,14,617,3552
Luxury,Mercedes-Benz,300-Class,1991,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,22,15,617,2179
"Diesel,Luxury",Mercedes-Benz,300-Class,1991,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,30,23,617,2000
"Diesel,Luxury",Mercedes-Benz,300-Class,1992,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,29,23,617,2000
Luxury,Mercedes-Benz,300-Class,1992,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,17,14,617,2377
"Luxury,Performance",Mercedes-Benz,300-Class,1992,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,Convertible,21,15,617,3814
Luxury,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,19,15,617,2207
Luxury,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,20,15,617,2000
Luxury,Mercedes-Benz,300-Class,1992,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,21,15,617,2248
Luxury,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22,16,617,2065
"Diesel,Luxury",Mercedes-Benz,300-Class,1992,diesel,148,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,22,18,617,2547
Luxury,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,18,15,617,2282
Luxury,Mercedes-Benz,300-Class,1992,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,23,18,617,2000
Luxury,Mercedes-Benz,300-Class,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,19,15,617,2544
Luxury,Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,22,17,617,2397
"Diesel,Luxury",Mercedes-Benz,300-Class,1993,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,30,23,617,2000
"Luxury,Performance",Mercedes-Benz,300-Class,1993,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,Convertible,21,14,617,4174
Luxury,Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22,17,617,2187
"Diesel,Luxury",Mercedes-Benz,300-Class,1993,diesel,148,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,22,18,617,2729
Luxury,Mercedes-Benz,300-Class,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,19,15,617,2433
Luxury,Mercedes-Benz,300-Class,1993,regular unleaded,194,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,23,17,617,2247
Luxury,Mercedes-Benz,300-Class,1993,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,18,14,617,2540
"Hatchback,Performance",Mitsubishi,3000GT,1997,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,23,17,436,3941
Hatchback,Mitsubishi,3000GT,1997,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,22,17,436,3295
"Hatchback,Factory Tuner,Performance",Mitsubishi,3000GT,1997,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,2dr Hatchback,22,16,436,6008
"Hatchback,Factory Tuner,Performance",Mitsubishi,3000GT,1998,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,2dr Hatchback,22,16,436,6710
Hatchback,Mitsubishi,3000GT,1998,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,22,17,436,3701
"Hatchback,Performance",Mitsubishi,3000GT,1998,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,23,17,436,4671
"Hatchback,Performance",Mitsubishi,3000GT,1999,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,23,17,436,5306
"Hatchback,Factory Tuner,Performance",Mitsubishi,3000GT,1999,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,2dr Hatchback,22,16,436,7600
Hatchback,Mitsubishi,3000GT,1999,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,22,17,436,4090
"Luxury,High-Performance,Hybrid",Chrysler,300,2015,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1013,37570
Performance,Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013,31695
Performance,Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1013,38070
